No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,,2025/3/10,【インシデント対応】PtrおよびVtrログイン時の２段階認証有効化,2025/03/12,Mariko,https://veltra.slack.com/archives/CMTDVF7PG/p1739361152966569
2,External,2025/03/03,新PAGのStripe対応をカレントサイトへリリース,2025/03/05,Megumi,https://veltra.slack.com/archives/C05EVF6A421/p1740634256167949
3,APP,2025/03/03,一部の地域（北米中南米中心）でアプリを起動すると予約一覧が取得できない問題（iOS/Android 5.0.13）,2025/03/06,Ayano,https://app.clickup.com/t/31108037/APP-1453
4,APP,2025/03/03,Ac詳細の添付PDFを開くとクラッシュする問題（iOS5.0.13）,2025/03/06,Ayano,https://app.clickup.com/t/31108037/APP-1446
5,APP,2025/03/03,アプリ内webviewのパラメーターの欠損（iOS/Android 5.0.13）,2025/03/06,Ayano,https://app.clickup.com/t/31108037/APP-1440
6,B2B,2025/03/10,Zenryo API - total amount in booking details of Mypage,2025/03/12,Kazuma,https://app.clickup.com/t/31108037/GSSPJ-583
7,B2B,2025/03/10,JTB Hevoの置き換えシステムの構築 (BIへの予約情報連携),2025/03/12,Kazuma,https://app.clickup.com/t/31108037/JTBVT-116
8,External,2025/03/17,3DSカレントサイト導入 (1st release: Stripe),2025/03/18,Megumi,https://app.clickup.com/31108037/v/l/6-901803080876-1
9,GSS,2025/03/24,"Globick API Hub,v1",2025/03/25,Mariko,https://veltra.slack.com/archives/CMTDVF7PG/p1742363727460359
10,,2025/03/24,【SYS】PtrおよびVtrログイン時の２段階認証有効化、機能調整,2025/03/24,Mariko,https://app.clickup.com/t/31108037/CS24-3988
11,SEO,2025/03/24,sitemapで送信したURLから404のURLを除く,2025/03/26,Kotaro,SEO改善 TASK
12,SEO,2025/03/24,/fontsページへのクロールブロック,2025/03/26,Kotaro,SEO改善 TASK
13,SEO,2025/03/24,/jsページへのクロールブロック,2025/03/26,Kotaro,SEO改善 TASK
14,SEO,2025/03/24,/filterページへのクロールブロック,2025/03/26,Kotaro,SEO改善 TASK
15,SEO,2025/03/24,/cssページへのクロールブロック,2025/03/26,Kotaro,SEO改善 TASK
16,SEO,2025/03/24,旧カテゴリーの文字ありURLを/ありに統一する,2025/03/26,Kotaro,SEO改善 TASK
17,SEO,2025/03/24,AC詳細で存在しないURLが生成されないようにする,2025/03/26,Kotaro,SEO改善 TASK
18,SEO,2025/03/24,/register?以下をクロール対象外にする,2025/03/26,Kotaro,SEO改善 TASK
19,SEO,2025/03/24,spotページで存在しないURLが生成されないようにする,2025/03/26,Kotaro,SEO改善 TASK
20,SEO,2025/03/24,/passwordReminder?以下のURLをクロール対象外にする,2025/03/26,Kotaro,SEO改善 TASK
21,sys,2025/03/24,[Issue][CirquePhase2(Dynamic Pricing)]Request api set the wrong required info in questionsAnswers.,2025/03/25,Mariko,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
