No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,CVR,2026/03/02,Changing the rating UI from five stars to a single star on Ac card on area page,2026/03/04,Sachie,https://app.clickup.com/t/86ewkn83q
2,CVR,2026/03/23,Addition of Filter on Search result page,2026/03/25,Sachie,https://app.clickup.com/t/31108037/CS24-4867
3,LTV,2026/03/16,Braze Couponデータ追加,2026/03/16,Ayano,https://app.clickup.com/t/86evwvpm5
4,APP,2026/03/16,Xcode26対応（iOS、Android 5.1.3）,2026/03/16,Ayano,https://app.clickup.com/t/31108037/APP-2008
5,APP,2026/03/16,イベント修正、軽微なUI修正、ブランドブルー統一（iOS、Android 5.1.3）,2026/03/16,Ayano,https://app.clickup.com/t/31108037/APP-2008
6,CVR,2026/03/16,Ctg page (pc) : main area change,2026/03/18,Sachie,https://app.clickup.com/t/31108037/CS24-5459
7,CVR,2026/03/23,AC list pages ｜Reviews&Recent list　UI標準化,2026/03/25,Sachie,https://app.clickup.com/t/31108037/DESIGN-2646
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
