No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,CVR,2026/02/04,Logoカラー変更,2026/02/04,Sachie,https://app.clickup.com/t/31108037/CS24-5364
2,CVR,2026/02/04,AC list pages ｜Top Sellers & Reviews　UI標準化,2026/02/04,Sachie,https://app.clickup.com/t/31108037/DESIGN-2646
3,CVR,2026/02/09,AC list pages ｜Partner & Editor Picks　UI標準化,2026/02/10,Sachie,https://app.clickup.com/t/31108037/DESIGN-2646
4,CVR,2026/02/09,Ac cardへのspecial deal情報追加,2026/02/10,Sachie,https://app.clickup.com/t/86evfbzj2
5,APP,2026/02/02,App_Home Native化（iOS 5.1.1）,2026/02/03,Ayano,https://app.clickup.com/t/31108037/APP-1676
6,APP,2026/02/02,Globick予約対応_ピックアップ時間表示の改修（iOS、Android 5.1.1）,2026/02/03,Ayano,https://app.clickup.com/t/31108037/APP-1743
7,APP,2026/02/16,App_Home Native化_残タスクwebviewClick（iOS、Android 5.1.2）,2026/02/16,Ayano,https://app.clickup.com/t/31108037/APP-1854
8,APP,2026/02/16,App_Home Native化_クラッシュ対応（iOS、Android 5.1.2）,2026/02/16,Ayano,https://app.clickup.com/t/31108037/APP-1868
9,APP,2026/02/16,Deeplink ULRパラメータ修正（iOS、Android 5.1.2）,2026/02/16,Ayano,https://app.clickup.com/t/31108037/APP-1861
10,APP,2026/02/16,購入イベント名変更（iOS、Android 5.1.2）,2026/02/16,Ayano,https://app.clickup.com/t/31108037/APP-1870
11,CVR,2026/02/23,Store検索結果ページ改善,2026/02/27,Sachie,"https://app.clickup.com/t/31108037/KZRQ-247
https://app.clickup.com/t/31108037/PRG_SEARCH-326"
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
