No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
4,APP,2025/03/31,Tiqets 予約が表示されない暫定対応_サポートページのリンク設置（iOS.Android5.0.14）,2025/03/31,Ayano,https://app.clickup.com/t/31108037/APP-1271
5,APP,2025/03/31,Appsflyer→Braze連携_Appsflyerの流入元をBrazeに連携する（iOS.Android5.0.14）,2025/03/31,Ayano,https://app.clickup.com/t/31108037/APP-1475
1,GSS,2025/03/31,"Urakata APIの商品の在庫連携機能(download allotment)に関して。
現状バッチにてデイリーで処理実行していますが、これを現場操作にて実行を可能とします。",2025/04/02,Mariko,https://app.clickup.com/t/31108037/CS24-3851
3,CVR,2025/03/31,"Search renewal Phase2 : Area suggest, Ctg suggest 並び順改善",2025/04/02,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-300
6,SEO,2025/03/31,/reviews#以下クロール対象外にする,2025/04/02,Kotaro,SEO改善 TASK
7,SEO,2025/03/31,SEO目的ではないページをクロール対象外にしたい,2025/04/02,Kotaro,SEO改善 TASK
8,SEO,2025/03/31,グローバルトップへの内部リンクを/ありに統一する,2025/04/02,Kotaro,SEO改善 TASK
9,SEO,2025/03/31,JPサイトグローバルトップへの内部リンクを/ありに統一する,2025/04/02,Kotaro,SEO改善 TASK
10,SEO,2025/03/31,/editors_pick以下すべてをクロール対象外にする,2025/04/02,Kotaro,SEO改善 TASK
11,GSS,2025/03/31,"Globick API v1残件, dedicated RequiredInfo API type: [API]Contact Email",2025/04/02,Mariko,https://app.clickup.com/t/31108037/CS24-3977
12,GSS,2025/03/31,Globick API v1残件、送迎アドオンありのAcにて、予約詳細画面で送迎の選択肢が表示されない,2025/04/02,Mariko,https://app.clickup.com/t/31108037/CS24-4015
13,GSS,2025/03/31,"Globick API v1残件、開始時間がなしかつSchedule type ""Standard activities & tours""のAcにて、予約詳細画面に遷移してしまう",2025/04/02,Mariko,https://app.clickup.com/t/31108037/CS24-4021
14,Kaizen,2025/4/9,カレンダー補足情報、催行確定日表示,2025/4/9,Mariko,https://app.clickup.com/t/31108037/CS24-3939
15,Kaizen,2025/4/9,Ptr/Vtr 2FA enhancement,2025/4/9,Mariko,https://app.clickup.com/t/31108037/CS24-4012
16,GSS,2025/4/9,"[Bug Fix]Globick API v1, Booking error - get dynamic price error when checkout",2025/4/9,Mariko,https://app.clickup.com/t/31108037/CS24-4062
17,GSS,2025/4/9,[Bug Fix]Fareharbor: About the Required info/Per person selection/ Required info/Per personの選択について,2025/4/9,Mariko,https://app.clickup.com/t/31108037/CS24-4070
18,B2B,2025/4/9,"[Bug Fix]Globick API v1, Ptr予約詳細画面にて、veltra priceの金額の計算が合っていない",2025/4/9,Mariko,https://app.clickup.com/t/31108037/CS24-4053
