No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
19,SEO,2025/4/9,sitemapで送信したURLからcanonical元URLを除き、caonical先URLに変更する,2025/4/9,Kotaro,SEO改善 TASK
20,SEO,2025/4/9,/ctgのdescription直下の「〇〇で選ぶ」ページを一括でnoindexにする,2025/4/9,Kotaro,SEO改善 TASK
24,B2B,2025/4/7,Zenryo API - ratename,2025/4/10,kazuma,https://app.clickup.com/t/31108037/GSSPJ-713
21,SEO,2025/4/14,リダイレクト元ページへのクロールブロック,2025/4/16,Kotaro,SEO改善 TASK
22,SEO,2025/4/14,/reviews#以下クロール対象外にする,2025/4/16,Kotaro,SEO改善 TASK
23,External,2025/4/14,3DSカレントサイト導入・payment renewal (2nd release),2025/4/17,Megumi,https://app.clickup.com/31108037/v/l/6-901803080876-1
25,External,2025/4/14,[Stripe]Adding missing error modals when 3DS fails in some cases,2025/4/17,Megumi,https://app.clickup.com/t/31108037/CS24-3893
26,CVR,2025/4/14,Search改善　Global ctgがSuggestされる際のエリア名表示改善,2025/4/17,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-307
27,Kaizen,2025/4/14,"Vtr 2FA , whitelist for 2FA disabling",2025/4/17,Mariko,https://app.clickup.com/t/31108037/CS24-4060
28,B2B,2025/4/14,Zenryo API - currency in payment history,2025/4/17,Kazuma,https://app.clickup.com/t/31108037/GSSPJ-582
29,CVR,2025/4/21,Search改善　Keyword suggestの追加,2025/4/23,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-268
30,APP,2025/4/21,購入イベントの二重送信防止（iOS.Android5.0.15）,2025/4/22,Ayano,https://app.clickup.com/t/31108037/APP-1513
31,APP,2025/4/21,Firebase Performance Monitoring導入（iOS.Android5.0.15）,2025/4/22,Ayano,https://app.clickup.com/t/31108037/APP-1502
32,APP,2025/4/21,App用の新検索API公開（Appの反映はまだ）,2025/4/23,Ayano,https://app.clickup.com/t/31108037/PRG_SEARCH-266
33,APP,2025/4/21,Appsflyerの通貨をJPYに固定_web対応,2025/4/24,Ayano,https://app.clickup.com/t/31108037/APP-1508
34,APP,2025/4/7,注文完了画面バックボタンで購入イベント2重発火防止_web対応,2025/4/9,Ayano,https://app.clickup.com/t/31108037/CS24-3723
35,APP,2025/4/21,RedirectAPIのリクエストパラメータにutm_source設定_web対応,2025/4/24,Ayano,https://app.clickup.com/t/31108037/APP-1504
36,CVR,2025/4/21,HA Search window内 Place holderの修正,2025/4/24,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-310
37,GSS,2025/4/21,[BugFix]Globick v1、download allotment不具合改修,2025/4/25,Mariko,https://app.clickup.com/t/31108037/CS24-4088?comment=90180118892095
38,APP,2025/4/28,Braze_app_purchaseイベント設定（iOS.Android5.0.16）,2025/4/30,Ayano,https://app.clickup.com/t/31108037/APP-1225
39,APP,2025/4/28,utm_souce漏れ改善（iOS.Android5.0.16）,2025/4/30,Ayano,https://app.clickup.com/t/31108037/APP-1504
40,GSS,2025/4/28,Price differences are being displayed in the start time list for ACs with API and Dynamic Pricing enabled / APIおよびDynamicPriceを設定たACで開始時間リストに差額が表示されてしまう,2025/4/30,Mariko,https://app.clickup.com/t/31108037/CS24-4117
