No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,CVR,2025/05/05,Search renewal: Modification of portal front end (Issue of image display on suggest on portal),2025/05/07,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-314
2,External,2025/05/05,"3DS: Adding missed ""s."" in a message for Stripe cases",2025/05/07,Megumi,https://app.clickup.com/t/31108037/CS24-3990
3,External,2025/05/05,3DS: Bug fix for tablets smaller than screen size 11inches,2025/05/07,Megumi,https://app.clickup.com/t/31108037/CS24-4161
4,External,2025/05/05,3DS: UI adjustement of SDK for Veritrans,2025/05/07,Megumi,https://app.clickup.com/t/31108037/CS24-4081
5,External,2025/05/05,"3DS: Standardize the placeholder as ""JOHN SMITH""",2025/05/07,Megumi,https://app.clickup.com/t/31108037/CS24-4113
6,External,2025/05/05,3DS: UI adjustment for Register new card part for Veritrans,2025/05/07,Megumi,https://app.clickup.com/t/31108037/CS24-4082
7,External,2025/05/05,3DS: Bug fix for validation to work properly to avoid getting specific bookings without selecting payment method,2025/05/08,Megumi,https://app.clickup.com/t/31108037/CS24-4179
8,CVR,2025/05/05,"Review admin : Adding ""Store"" filter",2025/05/07,Sachie,https://app.clickup.com/t/31108037/RVW-1346
9,CVR,2025/05/12,JP site/ 表示通貨JPYデフォルト化,2025/05/14,Sachie,https://app.clickup.com/t/31108037/MKT2024-22
10,GSS,2025/05/05,"API予約時のエラー通知, detect API booking error",2025/05/08,Mariko,https://app.clickup.com/t/31108037/CS24-3933
11,External,2025/05/12,3DS: Fixing error message for Veritrans SDK,2025/05/13,Megumi,https://app.clickup.com/t/31108037/CS24-4125
12,APP,2025/05/26,Emergency Contact showing when it is not set（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/QA-15441
13,APP,2025/05/26,Booking Detail > Status bar text color（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/QA-5553
14,APP,2025/05/26,Booking Details > 旅行中のご連絡 (Contact during travel) > 出発日 wrong format（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/QA-6384
15,APP,2025/05/26,Empty page shown after close the system browser for the payment details（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/QA-15662
16,APP,2025/05/26, Pickup Time not displayed when AC is set to: (Pickup only without Check-in and Start time)（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/QA-15658
17,APP,2025/05/26,予約一覧画面表示に必要な情報を取得するまでの時間を計測する（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/APP-1514
18,APP,2025/05/26,Braze Native Push許諾画面の削除（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/APP-1494
19,APP,2025/05/26,Braze_DeviceID連携（iOS.Android5.0.17）,2025/05/26,Ayano,https://app.clickup.com/t/31108037/APP-1518
20,GSS,2025/05/26,"Globick v1.1, booking error occurs when book without input the Optional RequiredInfo",2025/05/29,Mariko,https://app.clickup.com/t/31108037/CS24-4107
21,GSS,2025/05/26,"Globick v1.1, min/max capacity in API data",2025/05/29,Mariko,https://app.clickup.com/t/31108037/CS24-3962
22,GSS,2025/05/26,Globick v1.1 delete discount shown at floating box in Ac Detail calendar page,2025/05/29,Mariko,https://app.clickup.com/t/31108037/CS24-4118
23,External,2025/05/26,GTM Implementation for Veritrans 3DS measurement,2025/05/28,Megumi,https://app.clickup.com/t/31108037/CS24-3874
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
