No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,CVR,2025/12/01,サイト言語に応じて投稿写真のcaptionを表示or非表示にする,2025/12/03,Sachie,https://app.clickup.com/t/31108037/RVW-1627
2,CVR,2025/12/01,Ac list page UI標準化  - Keyword search page,2025/12/03,Sachie,https://app.clickup.com/t/31108037/DESIGN-2646
3,APP,2025/12/22,Braze　Android不具合改修（iOS.Android5.0.26）,2025/12/22,Ayano,
4,CVR,2025/12/15,HA/EN header 改修,2025/12/18,Sachie,https://app.clickup.com/t/31108037/DESIGN-2578
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
