No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,APP,2025/11/03,Deeplink改善（iOS.Android5.0.25）,2025/11/04,Ayano,https://app.clickup.com/t/31108037/APP-1698
2,APP,2025/11/03,色整理（iOS.Android5.0.25）,2025/11/04,Ayano,https://app.clickup.com/t/31108037/APP-262
3,CVR,2025/11/10,"Display AI Summary, Tips & Suggestions on EN Site",2025/11/12,Sachie,https://app.clickup.com/t/31108037/CS24-4605
4,CVR,2025/11/17,Ac list page UI標準化  - Date search page,2025/11/19,Sachie,https://app.clickup.com/t/31108037/DESIGN-2646
5,CVR,2025/11/17,Global topにwishlistのセクションを設置,2025/11/19,Sachie,https://app.clickup.com/t/31108037/CS24-4784
6,CVR,2025/11/24,Search suggest improvement,2025/11/26,Sachie,"https://app.clickup.com/t/31108037/PRG_SEARCH-316
 https://app.clickup.com/t/31108037/PRG_SEARCH-320"
7,CVR,2025/12/01,サイト言語に応じて投稿写真のcaptionを表示or非表示にする,2025/12/03,Sachie,https://app.clickup.com/t/31108037/RVW-1627
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
