No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,APP,2025/07/07,Android TargetSDK→35 +Flutterバージョンアップ（iOS.Android5.0.19）,2025/07/07,Ayano,https://app.clickup.com/t/31108037/APP-1549
2,APP,2025/07/07,Facebook iOS用のSDKバージョンアップ（iOS.Android5.0.19）,2025/07/07,Ayano,https://app.clickup.com/t/31108037/APP-1532
3,APP,2025/07/07,Flutterバージョンアップ後SNSログイン不具合修正（iOS.Android5.0.19）,2025/07/07,Ayano,https://app.clickup.com/t/31108037/APP-1567
4,APP,2025/07/07,Facebookログイン - ATTトラキングの各対応（iOS.Android5.0.19）,2025/07/07,Ayano,https://app.clickup.com/t/31108037/APP-1569
5,GSS,2025/07/14,Add booking deadline for hours before event start pattern,2025/07/17,Mariko,https://app.clickup.com/t/31108037/CS24-3997
6,CVR,2025/07/14,Area page UIUX改善 phase1 (EN/HA),2025/07/15,Sachie,https://docs.google.com/presentation/d/1xTNVKmX7OWHVOujC2YfSjrWNgvHPYevZGy_Ee3MmiPY/edit?slide=id.p#slide=id.p
7,APP,2025/07/11,あのちゃん画像残り削除対応（iOS5.0.20）,2025/07/11,Ayano,
8,GSS,2025/07/14,[Issue] voucher for other API does not function when Ptr setting is updted to Globick API,2025/07/15,Mariko,https://app.clickup.com/t/31108037/CS24-4233
9,GSS,2025/07/17,Add booking deadline for hours before event start pattern,2025/07/17,Mariko,https://app.clickup.com/t/31108037/CS24-3997
10,GSS,2025/07/23,"[CS2-4252]Globick v3.1, Create Ac from API data",2025/07/23,Mariko,https://app.clickup.com/t/31108037/CS24-4252
11,APP,2025/07/21,予約一覧の自動更新に向けたカレントサイト実装（web）,2025/07/23,Ayano,https://app.clickup.com/t/31108037/APP-1497
12,APP,2025/07/21,予約時の会員登録でのr_token生成タイミングのカレントサイト修正（web）,2025/07/23,Ayano,https://app.clickup.com/t/31108037/APP-1476
13,External,2025/07/21,Revise error message for NETWORK_ERROR,2025/07/23,Megumi,https://app.clickup.com/t/31108037/CS24-4449
15,CVR,2025/07/21,"Increase number of characters for Start time, Price note, Required info,Transportation",2025/07/24,Sachie,https://app.clickup.com/t/31108037/CS24-4411
16,CVR,2025/07/28,Ctg suggest improvement,2025/07/30,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-313?comment=90180140272226&threadedComment=90180142044478&utm_source=email-notifications&utm_type=2&utm_field=comment
17,GSS,2025/07/24,"[Issue]Globick required info, API ID not passed for per person configuration",2025/07/24,Mariko,https://app.clickup.com/t/31108037/CS24-4504
18,APP,2025/07/28,予約一覧画面の自動更新（iOS.Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/APP-1497
19,APP,2025/07/28,App Bundleに関する警告一部解消（Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/APP-1578
20,APP,2025/07/28,予約一覧APIの新レスポンスアプリ対応（iOS.Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/APP-1556
21,APP,2025/07/28,「LINEログイン」エラーメッセージ修正（iOS.Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/APP-914
22,APP,2025/07/28,予約詳細画面の営業時間の表示崩れ（iOS.Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/QA-5547
23,APP,2025/07/28,ログインエラーハンドリングの修正（iOS.Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/QA-3001
24,APP,2025/07/28,エリアアンケートNative化（マイエリア機能）（iOS.Android5.0.21）,2025/07/29,Ayano,https://app.clickup.com/t/31108037/APP-1521
25,GSS,2025/7/30,Globick API support for TourNote,2025/7/30,Mariko,https://app.clickup.com/t/31108037/CS24-4390
26,GSS,2025/7/30,"improvement for ""Check Availability Failure Notification""",2025/7/30,Mariko,https://app.clickup.com/t/31108037/CS24-4424
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
