No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,B2B,2025/02/03,[WL] docomo様向けページのバナー削除or差し替え対応,2025/02/03,Kazuma,https://app.clickup.com/t/31108037/B2BPT-173
2,B2B,2025/02/03,[GSS-PJ][TA] Zenryo coupon 全旅クーポン本格運用(API)対応-Second Release,2025/02/04,Kazuma,https://app.clickup.com/t/31108037/B2BPT-152
3,CVR,2025/02/03,Search renewal,2025/02/04,Sachie,"Search renewal Requirement
Search renewal 概要"
26,GSS,2025/2/4,Linktivity Voucher page update,2025/02/04,Mariko,https://veltra.slack.com/archives/CMTDVF7PG/p1738631100849559
4,External,2025/02/10,領収書発行改善 (不正利用の可能性を防止),2025/02/12,Miyu,"https://docs.google.com/spreadsheets/d/1suQFK2CfDcAAI8QuOlouqQwPur6M5xbv-DJcCSrnzZk/edit?gid=1898560418#gid=1898560418]
https://app.clickup.com/t/31108037/CS24-3279"
5,CS,2025/02/10,予約中新規会員登録導線にメール認証追加 (EN),2025/02/12,Mao,https://app.clickup.com/t/31108037/CPPJ-1716
8,B2B,2025/02/10,Making Child TA's Anta-net number settable in Parent TA's admin screen,2025/02/12,Kazuma,https://app.clickup.com/t/31108037/GSSPJ-558
9,B2B,2025/02/10,B2B	2025/02/10,2025/02/12,Kazuma,https://app.clickup.com/t/31108037/GSSPJ-532
10,CVR,2025/02/17,Vtr管理画面Transfer Ac review機能改善,2025/02/19,Sachie,https://app.clickup.com/t/31108037/RVW-1450
25,GSS,2025/2/19,Linktivity APIに関して、デイリーの在庫情報の連携期間を延長,2025/02/19,Mariko,https://veltra.slack.com/archives/CMTDVF7PG/p1739420866296369
12,APP,2025/02/24,初回起動時通信エラー解消（iOS/Android 5.0.12）,2025/02/24,Ayano,https://app.clickup.com/t/31108037/APP-1244
13,APP,2025/02/24,アプリ内webviewサブドメイン追加対応（iOS/Android 5.0.12）,2025/02/24,Ayano,https://app.clickup.com/t/31108037/APP-1250
14,APP,2025/02/24,「Xcode yearly」Xcode16対応（iOS/Android 5.0.12）,2025/02/24,Ayano,https://app.clickup.com/t/31108037/APP-229
15,APP,2025/02/24,Googleログインエラー対応（Android 5.0.12）,2025/02/24,Ayano,https://app.clickup.com/t/31108037/APP-1292
21,APP,2025/02/24,お問い合わせので宛先が選べないエラー解消（iOS/Android 5.0.12）,2025/02/24,Ayano,https://app.clickup.com/t/31108037/APP-1353
22,APP,2025/02/24,予約詳細、参加者情報に表示される項目修正（iOS/Android 5.0.12）,2025/02/24,Ayano,https://app.clickup.com/t/31108037/APP-1308
6,CS,2025/02/24,予約中新規会員登録導線にメール認証追加 (HA),2025/02/25,Mao,https://app.clickup.com/t/31108037/CPPJ-1716
11,B2B,2025/02/24,Zernryo API - 8200162 was confirmed without Zenryo payment,2025/02/25,Kazuma,https://app.clickup.com/t/31108037/GSSPJ-585
23,GSS,2025/2/26,京阪API、大阪万博対応向けピックアップ場所名の変更,2025/02/26,Mariko,https://veltra.slack.com/archives/CMTDVF7PG/p1740044582310719
24,GSS,2025/2/26,UrakataAPI、先方管理画面の参加済ステータス対応,2025/02/26,Mariko,https://veltra.slack.com/archives/CMTDVF7PG/p1740044836699999
27,CVR,2025/2/24,投稿画像　upload可能サイズ変更,2025/02/26,Sachie,https://app.clickup.com/t/31108037/RVW-421
28,CVR,2025/2/24,Search renewal改善 - Ctg suggest並び順変更(保有ac数からbooking数順へ）,2025/02/27,Sachie,https://app.clickup.com/t/31108037/PRG_SEARCH-270
29,CVR,2025/2/24,Creating a list of recommended activities of Silveregg,2025/02/26,Mao (Michi),https://app.clickup.com/t/31108037/CS24-3678
7,CS,2025/02/24,予約中新規会員登録導線にメール認証追加 (JP),2025/02/27,Mao,https://app.clickup.com/t/31108037/CPPJ-1716
30,B2B,2025/02/24,Zernryo API - 8200162 was confirmed without Zenryo payment,2025/02/27,Kazuma,https://app.clickup.com/t/31108037/GSSPJ-585
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
