No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,GSS,2025/09/29,[CS24-4511]Kaizen:Ac import function improvement v1.1,2025/10/01,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4511
2,CVR,2025/10/27,PR Activity Setting on CTG Pages,2025/10/29,Sachie Kiriya,"https://app.clickup.com/31108037/v/dc/xnay5-76918/xnay5-264518
管理画面からのCtgページへのPR枠設定機能"
3,CVR,2025/10/20,Booking button text change,2025/10/22,Sachie Kiriya,https://app.clickup.com/t/31108037/CS24-4833
4,CVR,2025/10/27,Add floating filter on Ctg page,2025/10/29,Sachie Kiriya,https://app.clickup.com/t/31108037/CS24-4711
5,APP,2025/10/20,Google Play 16 KB ページサイズ対応（iOS.Android5.0.24）,2025/10/20,Ayano,https://app.clickup.com/t/31108037/APP-1651
1,GSS,2025/10/27,[CS24-4511]Kaizen:Ac import function improvement v1.2,2025/10/29,MarikoShiga,https://app.clickup.com/t/31108037/CS24-4511
7,CVR,2025/10/27,"Display AI Summary, Tips & Suggestions on HA Site",2025/10/29,Sachie Kiriya,https://app.clickup.com/t/31108037/CS24-4605
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
