No,Area,Release Week,Release Summary,Release Date,By Whom,Detail
1,CVR,2026/01/05,Ctg pageのハイライトコメントを非表示にする,2026/01/07,Sachie,https://app.clickup.com/t/86evrwbte
2,CVR,2026/01/12,"Ac list page UI標準化  - Special deals, Monitor tours",2026/01/14,Sachie,https://app.clickup.com/t/31108037/DESIGN-2646
3,CVR,2026/01/12,AC page、Highlight commentなどのカードレイアウト変更,2026/01/14,Sachie,https://app.clickup.com/t/31108037/CS24-5039
4,CVR,2026/01/19,Area pageのAcカードにハートアイコン追加,2026/01/21,Sachie,https://app.clickup.com/t/31108037/CS24-4821
5,CVR,2026/01/26,Ac list内カテゴリフィルタの表示改善（親子の両カテ表示→親カテのみ表示へ変更）,2026/01/28,Sachie,https://app.clickup.com/t/86evx9mt5
6,APP,2026/01/26,App_Home Native化（Android 5.1.0）,2026/01/26,Ayano,https://app.clickup.com/t/31108037/APP-1676
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
